Cuenta,Contacto,Puesto,Celular,Correo_electronico,Stage,Visitas_Web,Emails_Abiertos,Llamadas_Realizadas,Presupuesto_Estimado,Sector,Tamaño_Empresa,Antiguedad_Cuenta_Meses,Interacciones_Totales,Cliente
"Mckay, Clark and Jones",Kenneth Payne,CEO,135566963,ebeck@example.com,qualifying,5,0,1,29641,Manufactura,Grande,43,6,0
Hensley-Turner,Andrew Graham,Especialista de Producto,506812359,ikelly@example.org,qualifying,5,2,0,33644,Retail,Pequeña,12,7,0
"Coleman, Howell and Brown",Jill Morgan,CTO,957501230,cabrerajesse@example.com,closing,0,3,1,22027,Educación,Pequeña,40,4,0
"Goodman, Hoffman and Smith",Adam Morgan,Gerente de Marketing,390140787,amendez@example.org,selling,3,0,0,7502,Tecnología,Pequeña,2,3,0
Johnson and Sons,Timothy Harper,Especialista de Producto,543534514,qmcgrath@example.net,negotiating,3,4,0,12142,Tecnología,Pequeña,25,7,0
"Padilla, Woods and Nguyen",Jasmine Hawkins,CEO,891555822,cookmichael@example.com,selling,6,1,0,47361,Retail,Pequeña,37,7,0
Brandt-Conrad,Katie Day,Gerente de Marketing,391861190,morganfoster@example.net,qualifying,2,6,1,18962,Tecnología,Pequeña,15,9,0
White-Villarreal,Jean Johnson,Especialista de Producto,511519109,brucebrennan@example.com,qualifying,1,1,1,3800,Salud,Mediana,3,3,0
Garcia Group,Mark Anderson,Especialista de Producto,116305454,anthonycabrera@example.com,negotiating,9,5,0,5320,Educación,Pequeña,7,14,0
"Bush, Bailey and Sexton",Emily Ponce,Ejecutivo de Ventas,008972366,qthompson@example.net,qualifying,5,1,0,17755,Educación,Mediana,19,6,0
Johnston-Perez,Mrs. Melissa Giles,CTO,420844440,kaylahudson@example.net,closing,2,0,0,17363,Retail,Pequeña,9,2,0
"Dominguez, Petersen and Allen",Jacqueline Young,Especialista de Producto,866949636,carpenterjason@example.net,qualifying,3,4,0,980,Educación,Pequeña,19,7,0
"Schmitt, Novak and Kelly",Erica Smith,CTO,288860027,harrisaimee@example.org,negotiating,2,5,0,10277,Educación,Mediana,26,7,0
"Mitchell, Perez and Diaz",Christina Francis,Analista,142448421,jensenherbert@example.net,selling,4,0,0,38180,Tecnología,Pequeña,21,4,0
Johnson Ltd,George Evans,CEO,320204770,nbenson@example.org,closing,1,1,1,25388,Salud,Pequeña,36,3,0
Olsen-Reilly,Elizabeth Walker,CEO,597953033,ybrock@example.org,negotiating,0,3,0,33392,Salud,Mediana,8,3,0
Harrison-Morris,Marcus Parker,Gerente de Marketing,256513663,christina99@example.com,qualifying,2,2,2,19573,Servicios,Pequeña,37,6,0
"Reeves, Collins and Wilson",Jeffery Poole,Especialista de Producto,393219439,garycastillo@example.net,qualifying,6,0,0,30399,Manufactura,Grande,26,6,0
Rodriguez PLC,Elizabeth Greene,CEO,715788028,johnmoore@example.net,negotiating,6,1,0,3542,Tecnología,Pequeña,9,7,0
Fowler-Martinez,Melissa Dean,Consultor,812570012,lauraarmstrong@example.com,closing,5,1,1,21638,Retail,Mediana,6,7,0
"Lewis, Morrow and Dennis",Jeremiah Black,CEO,128186046,christopherhines@example.net,qualifying,1,3,2,4824,Servicios,Pequeña,47,6,0
"Kent, Williams and Hart",Jose Bruce,Especialista de Producto,485829717,josephwilson@example.org,qualifying,3,2,0,41102,Retail,Mediana,3,5,0
"Sanders, Logan and Reynolds",Terrence Romero,CEO,061924010,newmanerik@example.org,negotiating,5,1,2,18819,Retail,Grande,34,8,0
Cohen-Dean,Ronald Martin,Gerente de Marketing,999215856,christopher19@example.com,selling,6,3,2,37452,Retail,Pequeña,8,11,0
Anderson LLC,Kathryn Yates,Analista,271881292,bsmith@example.net,negotiating,9,0,0,34390,Retail,Mediana,41,9,0
Taylor-Soto,Amy Walters,Ejecutivo de Ventas,427457310,tinalewis@example.com,qualifying,2,2,1,29510,Educación,Pequeña,10,5,0
Perry-Stewart,Lisa Garcia,Especialista de Producto,433562802,johnathanbrown@example.org,negotiating,6,6,0,26242,Tecnología,Grande,29,12,0
Todd-Hall,Melissa Perez,Ejecutivo de Ventas,350396553,timothypeterson@example.com,closing,5,3,3,19211,Educación,Mediana,8,11,0
"Hawkins, Wilson and Graves",Michael Day,Gerente de Marketing,575168771,khernandez@example.com,qualifying,5,0,1,36771,Tecnología,Pequeña,2,6,0
"Gomez, Long and Leonard",Dana Clarke,Gerente de Marketing,597425565,chaveztammy@example.com,qualifying,4,1,0,27387,Salud,Grande,42,5,0
Fisher and Sons,Keith Lewis,Analista,854326902,stewarttammy@example.org,negotiating,2,0,0,12217,Salud,Pequeña,6,2,0
"Walters, Smith and Foster",Kimberly Mitchell,Analista,047862385,hwong@example.com,negotiating,1,2,0,13241,Servicios,Pequeña,6,3,0
King and Sons,Ann Gibson,Especialista de Producto,336195952,lewisdeborah@example.net,selling,5,3,1,8563,Retail,Grande,43,9,0
Snyder and Sons,Brenda Smith,Gerente de Marketing,078814923,melissa96@example.net,selling,6,5,1,22657,Manufactura,Grande,14,12,0
Griffin Inc,Eileen Estes,Analista,461210200,williamsoncynthia@example.org,selling,3,1,0,41076,Salud,Mediana,2,4,0
Perez-Rodriguez,Aaron Ward,Analista,692507087,margaret09@example.org,closing,3,3,0,31613,Tecnología,Pequeña,38,6,0
"Cruz, White and Ward",Lisa Walters,Analista,806574227,eballard@example.com,negotiating,3,6,1,34806,Salud,Mediana,2,10,0
"Schultz, Hudson and Hoover",Juan Gardner,Ejecutivo de Ventas,243634786,xbaker@example.com,selling,3,2,0,11913,Tecnología,Pequeña,41,5,0
Ross-Morse,Christina Hill,Ejecutivo de Ventas,428163939,aliciajoseph@example.com,closing,5,1,0,13977,Retail,Pequeña,5,6,0
Butler-Gomez,Elijah Mckenzie,Ejecutivo de Ventas,366559237,zjohnson@example.com,qualifying,5,1,0,-557,Servicios,Pequeña,44,6,0
Poole-Craig,Julia Rich,CEO,127026710,brandon07@example.org,selling,3,4,0,43225,Tecnología,Grande,23,7,0
Whitney-Barnes,Lawrence Gray,CTO,727723657,sjenkins@example.net,qualifying,5,3,0,4780,Salud,Pequeña,16,8,0
Reed Ltd,Melissa Davis,Ejecutivo de Ventas,368864650,vsmith@example.com,qualifying,5,2,1,37613,Educación,Mediana,46,8,0
Buck Inc,Rebecca Miller,CEO,708212422,stokesallison@example.org,selling,3,2,0,18849,Manufactura,Pequeña,27,5,0
Garcia and Sons,Amanda Lawrence,CTO,343242083,william41@example.com,negotiating,3,1,1,7346,Manufactura,Pequeña,43,5,0
"Holland, Ross and Reilly",Brenda Davila,Gerente de Marketing,652102189,ian11@example.net,qualifying,0,1,2,40528,Manufactura,Grande,43,3,0
Morales LLC,Erica Mills,Ejecutivo de Ventas,524529615,wmayer@example.com,selling,0,2,0,10693,Salud,Grande,18,2,0
"Davis, Williams and Dawson",Robert Thompson,CEO,927089496,mrichards@example.org,qualifying,3,2,0,46624,Retail,Pequeña,32,5,0
"Bailey, Bryant and Fuller",Christina Cochran,CTO,297653999,taylorchristopher@example.org,closing,1,1,0,18020,Retail,Pequeña,12,2,0
Carter Ltd,Tiffany Sullivan,Gerente de Marketing,588014811,amclaughlin@example.com,selling,4,4,0,40715,Educación,Grande,26,8,0
Powell Group,Mrs. Joanna Cordova,Consultor,630974273,dennis50@example.net,selling,0,6,0,14560,Servicios,Mediana,17,6,0
"Myers, Carter and Anderson",Jeffrey Hernandez,Especialista de Producto,123831906,cristian14@example.com,closing,7,4,0,32232,Tecnología,Mediana,34,11,0
Santana-Potter,Nicholas Nolan,Especialista de Producto,874351489,joneschristopher@example.net,qualifying,2,2,1,5314,Educación,Pequeña,26,5,0
Hunter-Price,Mr. Robert Hernandez,Ejecutivo de Ventas,713168868,eproctor@example.com,qualifying,2,2,0,47971,Educación,Pequeña,31,4,0
"Gilmore, Chen and Mcguire",Taylor Armstrong,CEO,331627503,cynthiaterry@example.com,negotiating,3,1,0,677,Servicios,Pequeña,20,4,0
Williams-Black,Jasmine Gray,Especialista de Producto,816025240,yday@example.com,selling,6,3,0,37406,Retail,Pequeña,35,9,0
Daniel-Brown,Amber Franklin,Analista,307675125,princealexander@example.org,closing,2,0,2,27174,Servicios,Pequeña,44,4,0
Chavez-Padilla,George Perkins,CTO,726024815,williamsbrenda@example.com,negotiating,6,0,0,10675,Servicios,Mediana,8,6,0
Briggs-Hoover,Jennifer Good,Consultor,512862459,bradywhite@example.net,qualifying,4,3,0,22995,Educación,Pequeña,3,7,0
Cobb-Hunt,John Howard,Gerente de Marketing,441045242,knightwilliam@example.com,negotiating,5,3,0,38345,Salud,Pequeña,20,8,0
"Camacho, Rangel and Young",Victoria Garcia,Ejecutivo de Ventas,448538553,emily97@example.net,qualifying,4,3,2,31739,Servicios,Pequeña,22,9,0
Chapman-Smith,Derrick Gray,Analista,516942375,martinezmarc@example.net,closing,2,2,0,45861,Salud,Grande,5,4,0
Bailey-Hernandez,Jeff Marshall,Gerente de Marketing,971664992,reyesjames@example.net,selling,0,0,0,48587,Educación,Mediana,35,0,0
Phelps Inc,Shane Pope,Consultor,789517511,lisa80@example.com,qualifying,3,4,0,24143,Salud,Grande,30,7,0
Jackson-Price,Christian Williams,CTO,170082828,nicholas72@example.org,closing,8,2,0,26058,Retail,Pequeña,13,10,0
Beck LLC,Michael Robinson,CTO,927463942,stacey26@example.com,selling,6,2,0,51347,Servicios,Pequeña,32,8,0
"Evans, Green and Martin",Stephen Clements,CEO,308607860,amiles@example.net,negotiating,3,2,0,16443,Retail,Pequeña,46,5,0
"Parker, Velasquez and Miller",Eric Arnold,Analista,280613102,lwiggins@example.com,qualifying,4,0,1,48459,Educación,Pequeña,22,5,0
"Brennan, Cooper and Robinson",Timothy Mclean,Especialista de Producto,701577441,isabel98@example.com,closing,3,5,0,23060,Educación,Pequeña,38,8,0
Taylor-Hill,Charles Santiago,Ejecutivo de Ventas,837659985,ymassey@example.org,selling,5,4,0,28794,Salud,Pequeña,6,9,0
Leon Ltd,Audrey Kline,Gerente de Marketing,831672029,armstrongbradley@example.net,selling,2,2,0,47857,Educación,Grande,10,4,0
"Johnson, Cabrera and Ross",Tyler Hunt,CEO,466479865,ronaldhowell@example.org,closing,0,6,2,40793,Servicios,Grande,40,8,0
Bowers-Gonzalez,Sandra Lee,Analista,205899955,john57@example.org,selling,6,1,0,43525,Tecnología,Mediana,6,7,0
Roth-James,Amanda Jefferson,Ejecutivo de Ventas,539161290,brandonjackson@example.com,selling,5,5,2,45256,Salud,Mediana,33,12,0
"Brown, Levy and Garcia",Alexandra Harris,Especialista de Producto,746492903,wallen@example.net,negotiating,4,5,1,26031,Tecnología,Grande,30,10,0
"Crawford, Sharp and Morris",Shannon Everett,Consultor,679964511,morganbridges@example.com,selling,2,2,0,7268,Tecnología,Mediana,20,4,0
Scott-Thompson,Wendy Myers,Ejecutivo de Ventas,299492389,christopher89@example.net,qualifying,0,5,0,22753,Salud,Pequeña,42,5,0
Barrett LLC,Pamela Gregory,Analista,502822967,melinda06@example.net,closing,3,3,1,19190,Salud,Pequeña,14,7,0
Rubio and Sons,Lisa Jones,Ejecutivo de Ventas,533764755,davisjill@example.net,closing,3,1,0,28851,Manufactura,Pequeña,39,4,0
Palmer Ltd,Brandon Goodwin,Gerente de Marketing,544518952,kimberly65@example.org,negotiating,2,1,2,13753,Servicios,Grande,30,5,1
Mitchell Inc,Jessica Mcguire,Gerente de Marketing,498659679,bmiller@example.com,selling,5,3,0,12719,Manufactura,Grande,14,8,0
Moody-Hall,Vincent Jenkins,Especialista de Producto,900662305,sking@example.net,selling,7,0,0,19597,Tecnología,Pequeña,12,7,0
Malone and Sons,Sarah Skinner,CTO,245658088,jillianvaldez@example.com,closing,2,5,2,17698,Salud,Mediana,20,9,0
Pierce PLC,Dawn Hart MD,Analista,613093963,mezatroy@example.net,selling,3,0,1,-1777,Manufactura,Pequeña,42,4,0
"Wallace, Phillips and Wright",Steven Ward,CEO,071905657,umendoza@example.com,qualifying,7,2,0,8182,Retail,Grande,36,9,0
Cook Inc,Maria Lester,CTO,814061648,markcollier@example.org,negotiating,2,1,0,36894,Salud,Grande,20,3,0
Morrow-Delgado,Mitchell Gonzalez,Ejecutivo de Ventas,226477697,gmooney@example.com,selling,5,4,0,23978,Manufactura,Pequeña,27,9,0
"Cline, Wu and Kaufman",Dennis Wallace,Ejecutivo de Ventas,966139389,xpearson@example.net,qualifying,5,0,1,41806,Manufactura,Grande,11,6,0
Roberson Ltd,John Mccullough,Analista,238423516,iowen@example.net,selling,4,4,0,40781,Salud,Pequeña,47,8,0
"Valdez, Williams and Richards",Katherine Barrera,Analista,204956121,hughesjulie@example.net,selling,2,1,2,23215,Tecnología,Pequeña,5,5,1
Miller-Harris,Jennifer Vaughan,Ejecutivo de Ventas,855775448,proctorfrederick@example.org,selling,2,2,0,23023,Tecnología,Pequeña,45,4,0
"Kelley, James and Reilly",Jason Lamb,CTO,114695245,holmessandra@example.com,negotiating,7,1,2,37855,Educación,Mediana,32,10,0
"Williamson, Foley and Ellis",Mrs. Lori Smith,Ejecutivo de Ventas,346237489,watkinsrobert@example.net,selling,4,2,0,34889,Servicios,Mediana,43,6,0
Adams Ltd,Dennis Rogers,Consultor,750219032,dylanchen@example.com,selling,0,0,2,47704,Tecnología,Mediana,38,2,0
Kelley LLC,Alan Russo,Analista,547192705,zjohnson@example.com,negotiating,5,1,0,43715,Manufactura,Pequeña,16,6,0
"Thomas, Miller and Morales",Jennifer Brown,Consultor,593847161,roblesfrank@example.net,qualifying,8,3,0,19581,Servicios,Pequeña,26,11,0
"Scott, Hernandez and Aguilar",Laura Horne,Gerente de Marketing,521970530,tara35@example.net,negotiating,5,1,0,24099,Retail,Mediana,6,6,0
Navarro-Hernandez,Alicia Perez,Analista,827681509,tpalmer@example.net,negotiating,0,5,3,22232,Salud,Pequeña,1,8,0
"Kelly, Sullivan and Haynes",Elaine Jones MD,Gerente de Marketing,010403899,gmendez@example.org,closing,1,8,0,8901,Retail,Pequeña,13,9,0
Perez and Sons,Brian Kline,Especialista de Producto,296998888,rodriguezamanda@example.com,negotiating,4,2,0,8468,Tecnología,Pequeña,18,6,0
Lee-Jones,Jennifer Lara,Consultor,165289934,maurice78@example.com,negotiating,2,0,1,32387,Manufactura,Grande,28,3,0
Thompson Group,John Shelton,CEO,424715513,gabrielle36@example.net,selling,1,1,0,32108,Tecnología,Grande,35,2,0
Galvan Ltd,Susan Jacobs,CTO,122613060,knightedward@example.com,qualifying,5,1,0,29539,Servicios,Mediana,47,6,0
Ferguson and Sons,Barbara Carroll,Gerente de Marketing,774271619,jameswilliam@example.org,selling,0,3,1,38448,Retail,Grande,11,4,0
Barajas-Powers,Kelly Moore,Especialista de Producto,043683867,wwilcox@example.net,closing,4,3,0,31651,Servicios,Mediana,8,7,0
Washington-Dalton,Jennifer Davis,CEO,311832745,harias@example.org,negotiating,5,2,0,9142,Tecnología,Mediana,42,7,0
Ramirez PLC,Amy Brown,Especialista de Producto,485741721,audrey81@example.com,negotiating,9,4,2,40081,Tecnología,Pequeña,22,15,1
Murphy PLC,Lance Thomas,Consultor,839144531,benjaminstanley@example.com,qualifying,5,1,0,22990,Manufactura,Mediana,31,6,0
Zimmerman-Brown,Anthony Wood,Consultor,310104318,rebecca02@example.com,closing,3,3,1,5605,Servicios,Pequeña,37,7,0
Jones-Bass,Scott Davis,Analista,594215024,kyle52@example.net,selling,2,2,1,46777,Educación,Grande,11,5,0
Clark-Allen,Eric Robinson,Ejecutivo de Ventas,872978929,zbrown@example.org,selling,5,3,0,27948,Servicios,Mediana,30,8,0
"Bailey, Cross and Chang",Donna Allen,Analista,473756297,hawkinsregina@example.org,closing,1,1,0,46980,Salud,Grande,41,2,0
"Garcia, Soto and Yates",Kathy Harrison,CTO,854169571,victoriaschmidt@example.net,closing,0,4,0,44851,Tecnología,Grande,35,4,0
Yoder-Wilson,Ariel Doyle,CTO,175296122,cmiller@example.com,qualifying,3,0,0,42740,Educación,Mediana,18,3,0
Brown-Webb,Tracy Dunn,CEO,776371415,thompsonstephen@example.org,closing,0,0,3,33720,Educación,Pequeña,30,3,0
French LLC,Mary Hughes,Gerente de Marketing,948377402,elizabeth33@example.org,qualifying,6,2,0,23940,Tecnología,Mediana,22,8,0
Jackson Inc,Erica Elliott,Especialista de Producto,903064167,lindasims@example.net,closing,4,1,1,29055,Servicios,Pequeña,5,6,0
Chang-Fowler,Brittany Friedman,CEO,897529066,fitzgeraldkathryn@example.net,selling,5,2,1,12520,Salud,Pequeña,45,8,0
Howell LLC,Yvonne Trevino,Especialista de Producto,616333967,cathy61@example.com,negotiating,3,2,1,47252,Retail,Mediana,46,6,0
"Williams, Brown and Pierce",Laura Swanson,Ejecutivo de Ventas,861367948,pmiranda@example.org,negotiating,1,0,0,350,Educación,Pequeña,2,1,0
Hamilton-Henderson,Randy Rivas,Analista,041308285,mark09@example.net,negotiating,4,0,1,28430,Manufactura,Grande,23,5,0
Miller-Ritter,Amber Chen,CEO,728602773,caroljacobs@example.net,negotiating,3,3,1,18397,Servicios,Mediana,42,7,0
Gonzalez Group,Brian Hatfield,Ejecutivo de Ventas,812466702,perezcaleb@example.net,closing,7,2,2,6121,Manufactura,Mediana,17,11,0
Huff-Whitaker,Steven Wilkerson,Ejecutivo de Ventas,648484555,markgreen@example.org,selling,1,3,0,40326,Salud,Mediana,24,4,0
Hobbs-Williams,Gabriela Bradley,Ejecutivo de Ventas,770408611,dukeanthony@example.com,qualifying,5,5,0,51726,Servicios,Pequeña,2,10,0
Rodriguez-Austin,Elizabeth Garcia,CTO,701282945,ldavis@example.net,selling,5,5,0,45397,Educación,Mediana,9,10,0
"Macias, Salinas and Garcia",Kathleen Thomas,CEO,465908968,rachel26@example.net,negotiating,5,4,2,5834,Servicios,Mediana,33,11,0
Parker and Sons,Jennifer Williams,Especialista de Producto,881783438,murphyjames@example.org,qualifying,4,2,0,-826,Manufactura,Grande,21,6,0
Alvarez LLC,Brett Chapman,CTO,466176620,tsmith@example.org,selling,3,4,1,12592,Salud,Grande,16,8,1
"Krueger, Austin and Reyes",Thomas Jordan,Analista,324786237,randygonzales@example.net,qualifying,4,1,1,30995,Manufactura,Grande,31,6,0
Gutierrez PLC,Zachary Ray,Gerente de Marketing,320585374,alexandra76@example.net,selling,1,0,0,46810,Salud,Grande,35,1,0
Chapman-Perkins,Roberta Goodwin,CTO,984431097,fdougherty@example.org,qualifying,1,1,0,18508,Manufactura,Grande,11,2,0
Cross Group,Belinda Olson,Especialista de Producto,513274074,goliver@example.com,selling,2,2,0,23641,Tecnología,Mediana,6,4,0
"Jensen, Mckee and Smith",Deborah Flores,Especialista de Producto,414636763,lmyers@example.com,selling,4,2,2,25891,Tecnología,Pequeña,26,8,0
"Garcia, Anderson and Clark",Hannah Robinson,Especialista de Producto,078959028,sarah55@example.com,negotiating,6,0,1,42258,Educación,Pequeña,2,7,0
Grant and Sons,Kelly Coleman,Consultor,316594888,zwalker@example.net,negotiating,2,3,1,18439,Manufactura,Pequeña,26,6,0
Robinson Group,Bradley Mitchell,CEO,453433657,eberry@example.com,negotiating,5,0,0,15011,Retail,Pequeña,22,5,0
"Leonard, Holder and Shields",Joseph Marshall,CTO,323915499,veronicaharris@example.net,closing,3,4,0,37399,Tecnología,Mediana,3,7,0
"Wade, Cook and Morris",Evan Scott,Ejecutivo de Ventas,986073105,ikim@example.com,negotiating,4,4,0,25650,Salud,Mediana,33,8,0
"Ibarra, Jackson and Bell",Jason Dixon,CEO,501973421,ksingh@example.net,qualifying,0,3,0,39812,Servicios,Pequeña,21,3,0
Stout LLC,Abigail Fleming,Especialista de Producto,571392710,tjohnson@example.com,qualifying,3,1,0,42146,Retail,Mediana,4,4,0
Davis-Campos,Robyn Rivera,Consultor,948367861,josemoss@example.com,qualifying,5,1,0,43857,Salud,Pequeña,46,6,0
Robinson LLC,Jonathan White,Consultor,708666391,summerssteven@example.org,qualifying,7,6,1,29983,Tecnología,Pequeña,31,14,0
"Greene, Murphy and Williams",Ashley Rivera,CTO,204995640,andersonlinda@example.org,selling,7,1,0,39676,Educación,Pequeña,8,8,0
Daniels-Steele,Jose Lawrence,Consultor,003111661,colejohn@example.com,closing,7,3,0,46148,Salud,Grande,36,10,0
Hill-Ruiz,James Harris,Ejecutivo de Ventas,471379151,michaelhall@example.com,negotiating,7,1,2,18937,Tecnología,Pequeña,5,10,0
Thompson LLC,Cynthia Smith,Ejecutivo de Ventas,623050478,joyce73@example.net,closing,5,0,0,36607,Tecnología,Grande,30,5,0
Hancock-Gonzalez,Melissa Cross,Consultor,606419777,timothyli@example.net,negotiating,3,3,0,9425,Educación,Pequeña,5,6,0
Everett LLC,Vanessa Moore DDS,Gerente de Marketing,500383357,brice@example.net,qualifying,8,0,0,24670,Servicios,Pequeña,15,8,0
White Inc,Richard Thompson,Consultor,447227643,gabrielhall@example.net,negotiating,4,2,2,47435,Manufactura,Pequeña,23,8,0
Kirk LLC,Joseph Friedman,Especialista de Producto,978513292,jfuller@example.net,negotiating,3,4,1,26903,Salud,Pequeña,17,8,0
"Simmons, Williams and Martinez",Jeffrey Nguyen,Especialista de Producto,394297769,diazgeorge@example.net,qualifying,4,0,0,19515,Retail,Pequeña,16,4,0
Parker Inc,Thomas Johnson,CTO,406837346,smacdonald@example.net,closing,1,3,0,19,Manufactura,Pequeña,32,4,0
"Potter, Walters and Brock",April Reed,Consultor,031867211,hunterscott@example.net,selling,2,3,1,11642,Manufactura,Mediana,23,6,0
"Jenkins, Mcdaniel and Fleming",Richard Schmidt,CTO,883108444,angelamiller@example.org,selling,6,2,0,5581,Tecnología,Mediana,43,8,0
Lee-Wright,Miss Kim Murphy,Ejecutivo de Ventas,860696249,brownmegan@example.org,selling,4,2,1,45814,Tecnología,Mediana,18,7,0
"Graham, Berry and Walker",Brandi Gregory,CEO,308331375,klynch@example.net,negotiating,5,3,0,27837,Educación,Pequeña,12,8,0
Mahoney LLC,Vanessa Blair,Consultor,333790783,powersdebra@example.net,selling,4,1,0,16861,Salud,Mediana,15,5,0
"Arias, Adams and Gross",John Dominguez,Consultor,265242278,annegarcia@example.com,negotiating,0,1,1,21048,Tecnología,Grande,29,2,0
Monroe Inc,Tyler Lynch,Consultor,984724587,williamsangela@example.net,selling,4,3,0,46151,Salud,Grande,8,7,0
Logan-Lee,Elizabeth Rivera,Especialista de Producto,681277320,yalexander@example.org,qualifying,6,3,0,22817,Servicios,Pequeña,39,9,0
"Nichols, Hansen and Mcknight",Philip Adams,Gerente de Marketing,995189902,jennahart@example.net,qualifying,2,0,4,34314,Retail,Mediana,5,6,0
Gray-Cox,Matthew Scott,Gerente de Marketing,314578805,dsanchez@example.org,selling,5,3,0,45786,Salud,Pequeña,34,8,0
"Thomas, Tran and Barry",Taylor Dixon,Ejecutivo de Ventas,497035067,yatkins@example.net,selling,2,3,0,7219,Servicios,Mediana,28,5,0
